Rating,App,Category,Reviews,Installs,Type,Price,Content Rating,Current Ver,Android Ver,SizeInMB,Genre1,Genre2,DateLastUpdated
NULL,Best CG Photography,Family,1,500,Free,0,Unrated,5.2,3,2.5,Entertainment,,24/06/2015
4.1,DC Universe Online Map,Tools,1186,50000,Free,0,Unrated,1.3,2.3.3,6.4,Tools,,27/02/2012
4.1,Death Dragon Knights RPG,Family,11179,1000000,Free,0,Teen,2.7,2.3,19,Role Playing,,16/09/2016
4.1,detikcom - Latest & Most Complete News,News and magazines,190888,10000000,Free,0,Teen,5.2.5,4.1,11,News & Magazines,,13/07/2018
4.1,Combat Strike CS ðŸ”« Counter Terrorist Attack FPSðŸ’£,Game,1019,100000,Free,0,Teen,1.0.7,4.1,39,Action,,23/07/2018
4.1,Dance On Mobile,Family,23609,1000000,Free,0,Teen,1.26,4,31,Casual,,13/04/2018
4.1,Dino War: Rise of Beasts,Game,18996,1000000,Free,0,Teen,1.5.2,4.1,81,Strategy,,01/08/2018
4.1,DIRECTV,Family,235486,10000000,Free,0,Teen,5.9.006,4.1,63,Entertainment,,01/06/2018
4.1,Dollhouse Decorating Games,Lifestyle,18968,5000000,Free,0,Teen,5.1,4.1,32,Lifestyle,,26/04/2018
4.1,Don't Starve: Shipwrecked,Game,1468,10000,Paid,4.99,Teen,0.16,5,4.9,Adventure,,10/07/2018
4.1,Bus Rush: Subway Edition,Game,753043,100000000,Free,0,Teen,1.15.2,4.0.3,57,Action,,01/08/2018
4.1,Cartoon Wars 3,Family,137674,5000000,Free,0,Teen,2.0.2,2.3,72,Role Playing,,04/07/2018
4.1,CB On Mobile,Communication,901,100000,Free,0,Teen,1.0.5,4,0.32,Communication,,26/04/2017
4.1,Cinemark Theatres,Entertainment,21867,1000000,Free,0,Teen,2.19.0,5,39,Entertainment,,12/07/2018
4.1,Clumsy Santa ER Surgery,Family,214,100000,Free,0,Teen,1,4.0.3,46,Casual,,22/12/2016
4.1,æ—¥æœ¬AVåŽ†å²,Books and reference,215,10000,Free,0,Teen,1.2,4,30,Books & Reference,,06/03/2018
4.1,Ao Oni2,Game,21223,1000000,Free,0,Teen,1.6.6,4.1,48,Adventure,,20/04/2018
